keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:17.5,1,1,A Brief History of Vice: How Bad Behavior Built Civilization,Robert Evans,Plume,270,00:00.0,112463,https://images-na.ssl-images-amazon.com/images/I/51MdA5o5rIL._SL75_.jpg,B01839Q4ZE,,,,,,,
drug history,00:17.5,1,5,The Dirt: Confessions of the World's Most Notorious Rock Band,Tommy Lee,Dey Street Books,448,00:00.0,839,https://images-na.ssl-images-amazon.com/images/I/51elsMrnPaL._SL75_.jpg,B00JOFS5BS,,,,,,,
drug history,00:17.5,1,9,Without Remorse: TOM CLANCY?????S (John Clark series Book 1),Tom Clancy,Berkley,763,00:00.0,11359,https://images-na.ssl-images-amazon.com/images/I/51DsBwiPhpL._SL75_.jpg,B001QEAQQW,,,,,,,
drug history,00:18.6,2,13,"Sing, Unburied, Sing: A Novel",Jesmyn Ward,Scribner,305,00:00.0,7154,https://images-na.ssl-images-amazon.com/images/I/515pYTNTrcL._SL75_.jpg,B01M9I7CRC,,,,,,,
drug history,00:18.6,2,17,Typhoon Fury (The Oregon Files Book 12),Clive Cussler,G.P. Putnam's Sons,444,00:00.0,8834,https://images-na.ssl-images-amazon.com/images/I/61wmlCXL%2BaL._SL75_.jpg,B06WRQG5NS,,,,,,,
drug history,00:19.8,3,21,Deep Medicine: How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,Basic Books,341,00:00.0,7290,https://images-na.ssl-images-amazon.com/images/I/41pKAiVAaML._SL75_.jpg,B07FMHFGLT,,,,,,,
drug history,00:19.8,3,25,Night Prey (The Prey Series Book 6),John Sandford,G.P. Putnam's Sons,450,00:00.0,17578,https://images-na.ssl-images-amazon.com/images/I/510KSV3RXYL._SL75_.jpg,B002YKOXFW,,,,,,,
drug history,00:19.8,3,29,An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,Elisabeth Rosenthal,Penguin Books,407,00:00.0,53743,https://images-na.ssl-images-amazon.com/images/I/51jpefqWVXL._SL75_.jpg,B01IOHQ9LO,,,,,,,
drug history,00:21.0,4,33,Life,Keith Richards,"Little, Brown and Company",536,00:00.0,32972,https://images-na.ssl-images-amazon.com/images/I/51dfdc-I5LL._SL75_.jpg,B003UBTX72,,,,,,,
drug history,00:21.0,4,37,My Cross to Bear,Gregg Allman,William Morrow,561,00:00.0,5278,https://images-na.ssl-images-amazon.com/images/I/51vTbnjcIuL._SL75_.jpg,B005O078LK,,,,,,,
